mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
11	Baylor	10	58	25	20	343	265	109	23	29	47	131	49	34	33	15	2028	1543	683	586	1278	449	348	83	7	306	184	266	476	278	942	319	117	151	37	30	54	97	186	57	34	171	74	56	15	2	45	106	62	183	5	4	49	26	47	7	3	33	121	26	35	52	18	8	28	26	15	29	35	34	9	11	12	5	4
12	North Texas	10	64	31	14	412	393	129	38	20	75	119	62	12	10	10	2182	2316	1099	721	1623	757	677	113	21	446	222	476	632	488	898	441	192	168	78	57	70	68	161	82	65	57	28	22	49	18	85	43	56	86	4	4	73	28	48	5	4	65	120	44	29	22	12	7	4	6	11	6	6	4	0	0	0	5	11
13	Northern Illinois	10	63	30	15	367	360	120	37	27	71	119	56	17	17	10	2058	2008	1032	647	1374	681	660	86	19	409	209	357	468	447	750	363	177	150	70	51	70	84	148	76	60	75	48	42	49	6	91	56	52	106	6	0	74	34	81	7	1	56	102	32	21	34	15	12	16	19	12	18	18	8	2	0	0	5	7
14	Northwestern	11	69	34	21	412	445	125	46	18	82	143	69	33	30	20	2450	2387	1380	769	1555	762	915	83	29	493	222	437	541	723	1150	596	178	160	81	58	71	57	117	57	24	205	89	90	20	0	40	130	98	184	0	0	37	23	33	3	0	123	179	60	10	19	5	5	11	10	10	29	20	40	10	20	30	5	3
15	Western Michigan	10	61	28	17	358	308	118	24	32	61	123	68	27	16	12	1983	1695	760	644	1405	568	344	87	0	348	191	401	441	311	825	399	173	158	68	60	63	98	193	78	44	129	35	32	28	28	70	86	107	92	1	0	103	35	89	6	0	41	113	39	41	26	12	9	32	18	24	22	23	7	2	5	1	5	7
16	Wisconsin	12	74	43	23	422	547	123	70	24	99	157	90	31	40	20	2451	2803	1640	726	1438	858	1340	69	57	579	254	565	520	928	1169	719	173	166	134	72	67	87	152	99	82	175	112	127	59	2	91	114	107	277	0	0	60	27	68	1	7	118	167	67	10	30	23	6	10	13	10	23	33	40	10	20	30	5	3
17	Wyoming	11	65	32	23	418	452	117	40	9	92	170	79	5	10	36	2177	2541	1365	741	1337	889	892	91	23	562	271	537	580	777	1308	733	199	181	99	39	119	40	78	34	83	22	24	30	92	0	127	30	18	124	0	0	39	31	47	0	0	98	363	118	12	6	0	0	0	0	0	21	20	0	0	0	5	35	8
18	Auburn	11	67	36	19	403	434	135	52	27	60	124	70	29	28	15	2253	2618	1256	755	1708	892	917	124	35	391	166	402	559	449	860	529	163	139	96	43	68	73	176	99	33	139	70	84	13	1	43	75	90	150	0	1	61	38	55	2	0	50	125	48	33	29	12	8	17	16	14	29	28	36	9	8	12	5	10
19	Akron	11	55	33	22	335	296	84	34	32	43	156	85	17	25	21	1835	1798	605	593	1079	410	413	50	11	207	229	532	526	227	1011	386	80	184	83	39	38	72	163	69	12	81	50	56	60	31	27	58	45	162	0	11	87	47	109	1	6	44	185	67	22	35	22	11	23	22	6	26	33	9	2	2	4	15	7
20	Virginia Tech	11	56	31	24	341	347	72	31	16	73	161	88	10	10	36	1980	1775	824	656	875	431	530	32	10	404	251	533	416	559	1167	580	87	164	89	40	47	49	82	46	48	43	26	30	73	23	53	67	38	108	0	0	83	31	90	0	0	93	290	118	11	4	0	1	3	2	1	39	20	0	0	2	5	35	2
21	Alabama	11	64	35	20	366	392	110	47	27	63	134	71	30	32	15	2095	2257	1097	645	1314	647	784	71	28	377	195	423	472	471	883	458	121	151	89	32	59	86	143	81	53	149	74	83	29	4	66	69	84	180	4	0	49	30	69	1	3	51	121	45	37	42	21	8	18	21	14	30	31	36	9	8	12	5	10
22	UCLA	11	60	30	25	350	368	96	34	17	76	140	69	29	30	32	1940	1954	1016	562	1094	617	624	65	17	444	178	341	491	629	1078	616	137	115	63	20	71	66	93	54	63	119	72	75	43	0	87	84	80	160	3	1	58	22	49	5	3	91	236	84	26	14	6	1	1	20	1	20	12	25	6	32	48	16	9
23	Arizona	11	54	27	28	308	281	81	23	20	54	143	64	38	46	32	1778	1470	625	514	937	389	347	52	6	355	149	274	439	415	1070	467	92	115	38	51	41	65	127	41	35	155	77	74	41	8	42	104	88	267	6	3	35	23	47	6	10	60	215	60	19	55	20	0	19	13	15	17	36	32	14	33	48	16	9
24	Utah	11	58	30	25	336	309	82	24	30	68	173	92	19	14	35	1860	1529	681	592	949	393	274	40	5	334	286	508	526	430	1370	562	96	192	68	39	38	65	130	86	61	67	34	36	51	38	47	57	96	115	12	9	83	14	108	7	0	59	343	110	28	14	8	20	16	7	24	22	30	10	0	1	0	35	8
25	Arkansas State	10	73	35	10	437	533	144	60	16	124	86	50	3	0	10	2307	2799	1827	758	1725	1024	1365	104	55	716	166	388	602	992	691	457	292	120	100	83	103	54	132	81	85	16	0	0	31	0	127	22	14	0	2	1	80	20	42	0	0	161	120	50	5	0	0	4	1	0	0	9	0	0	0	0	0	5	11
26	North Carolina State	11	52	27	28	371	360	94	25	3	63	148	84	3	0	56	2105	2155	866	755	1294	779	550	75	8	414	172	430	574	603	1315	826	173	130	84	49	39	8	21	13	43	10	0	0	7	0	50	28	9	0	0	0	20	25	14	0	0	86	426	168	0	0	0	0	0	0	0	18	0	0	0	0	0	70	1
27	Ball State	10	63	30	15	375	366	124	38	26	74	121	54	14	18	10	2046	2129	1072	689	1443	745	690	96	21	424	202	363	483	465	779	373	199	155	69	36	92	72	150	72	73	66	55	39	50	6	89	37	40	123	0	2	73	38	68	0	5	54	102	32	28	24	12	14	18	20	11	18	18	6	3	0	0	5	7
28	Florida	11	65	35	20	358	397	120	47	32	66	131	71	29	32	15	2048	2109	1086	612	1390	717	765	89	28	357	192	391	471	474	873	483	168	142	89	30	59	104	198	112	32	137	78	83	30	4	31	82	83	174	2	0	80	28	87	1	3	70	116	45	30	35	21	9	16	21	14	31	31	36	9	8	12	5	10
29	Boise State	9	59	24	12	363	332	100	28	13	92	108	38	3	8	10	1953	1776	1064	616	1165	552	579	62	15	535	221	304	519	593	845	315	154	152	43	28	84	50	76	41	97	10	24	22	64	0	118	12	9	86	5	1	60	15	38	0	0	94	126	28	13	8	1	2	1	7	1	3	12	0	0	0	0	5	12
30	Boston College	11	50	28	27	394	286	88	23	10	26	176	79	9	25	38	1901	2085	608	716	1305	536	348	76	5	161	250	496	739	181	1447	477	62	225	62	45	53	46	61	30	20	54	56	39	39	16	58	63	30	243	1	0	33	30	51	1	1	16	306	94	7	14	19	0	4	0	0	28	46	1	1	1	12	35	2
31	West Virginia	11	54	29	26	360	345	76	31	7	66	167	71	7	26	37	2053	2010	866	704	1065	526	587	46	14	414	226	434	510	528	1256	552	108	170	65	40	38	24	36	21	24	28	58	62	88	0	63	46	18	267	0	0	37	35	35	0	0	83	292	81	7	13	8	0	0	5	0	22	55	2	0	2	10	35	2
32	Bowling Green State	11	63	34	21	332	365	98	37	35	77	153	87	21	21	20	1953	1809	917	546	1107	535	571	56	13	424	259	493	392	493	887	485	139	175	95	41	50	107	177	95	53	81	54	53	79	28	60	62	84	149	5	1	104	37	139	1	1	69	174	70	26	34	24	12	25	23	22	30	30	5	1	2	0	15	7
33	Michigan	11	70	34	21	411	440	133	46	26	84	144	69	32	30	20	2253	2306	1333	678	1610	763	869	96	29	466	219	405	603	707	1160	583	178	178	81	49	65	82	182	92	66	199	90	90	7	0	58	119	96	190	2	1	82	24	69	2	0	108	182	60	14	16	5	5	10	10	10	26	20	40	10	20	30	5	3
34	Virginia	10	42	16	29	291	197	63	7	7	47	163	50	2	7	56	1671	1032	404	568	819	361	135	35	0	288	210	229	469	359	1390	456	124	153	21	17	21	24	47	12	16	6	21	7	29	0	20	18	4	89	0	0	33	23	44	0	0	71	438	91	0	0	0	1	0	0	0	12	21	0	0	0	0	70	1
35	Buffalo	11	58	34	21	332	329	85	37	32	58	141	87	23	21	20	1957	1802	731	622	1060	449	486	46	10	326	193	463	436	345	929	445	96	149	102	37	40	77	152	86	32	98	48	46	36	32	19	70	100	127	0	2	104	43	110	1	6	52	174	70	31	27	16	10	30	19	22	30	30	7	3	2	0	15	7
36	Syracuse	11	61	31	24	365	405	108	37	17	84	155	76	8	16	36	2137	2116	1092	638	1272	800	701	76	20	565	227	436	472	668	1104	682	213	150	86	53	49	60	97	79	64	25	35	44	82	0	51	55	24	168	4	1	44	21	62	0	0	87	285	103	8	7	2	18	1	7	1	34	35	0	0	2	5	35	2
37	Central Florida	8	67	24	4	365	381	141	34	13	113	46	20	8	2	0	2111	1933	1457	614	1678	746	768	130	23	683	123	211	425	636	236	155	229	64	35	65	86	40	107	53	80	58	8	8	59	3	79	31	40	19	5	1	62	18	18	1	0	136	0	0	16	6	1	2	0	3	7	0	0	1	0	0	0	0	6
38	Georgia Tech	11	46	26	29	362	291	79	23	6	34	153	79	2	7	56	1815	1973	597	711	1143	602	430	67	7	241	171	384	631	297	1364	612	81	154	71	65	42	25	28	11	46	6	6	14	16	0	65	18	4	80	0	0	27	20	40	0	0	17	417	147	0	1	0	0	1	1	0	12	21	0	0	0	0	70	1
39	Central Michigan	11	67	38	17	372	444	111	55	30	84	122	79	22	19	12	2293	2402	1281	664	1297	717	978	69	35	567	194	486	437	619	763	482	156	141	122	43	59	88	143	94	61	93	37	55	58	18	52	62	82	115	6	0	83	31	88	2	1	78	107	49	24	35	17	10	29	22	18	21	25	8	2	5	1	5	7
40	Purdue	11	65	32	23	429	370	132	33	23	45	166	77	34	35	20	2193	2321	1001	723	1775	735	544	126	10	286	273	516	726	317	1296	524	116	224	65	66	68	84	153	62	27	204	105	91	22	23	46	114	110	243	0	0	48	34	70	2	3	33	183	53	29	21	13	5	12	11	12	23	27	40	10	20	30	5	3
41	Colorado	11	70	36	19	376	442	128	52	37	93	126	71	29	26	16	2129	2151	1284	598	1494	738	831	97	35	497	176	414	556	718	937	576	174	153	99	57	47	109	218	174	92	149	66	78	14	2	28	98	93	142	8	3	67	24	48	3	0	105	125	52	29	26	12	37	25	26	14	35	26	26	6	10	15	5	4
42	Colorado State	10	54	21	24	346	273	76	16	10	78	183	52	5	16	36	1776	1350	715	636	925	396	305	45	4	428	300	357	501	533	1397	449	112	198	34	59	67	38	59	31	52	21	41	28	106	0	94	22	10	184	5	0	42	35	42	0	0	104	374	67	17	11	2	2	1	4	0	16	35	1	0	0	5	35	8
43	Connecticut	7	60	18	3	322	276	139	22	18	91	22	11	13	2	0	1939	1380	1026	554	1544	568	456	115	13	593	34	65	325	398	125	81	256	23	15	61	81	49	133	60	64	68	4	6	13	0	64	48	44	14	11	0	77	10	12	10	0	84	0	0	14	7	1	6	6	2	16	0	0	4	0	0	0	0	6
44	Eastern Michigan	11	66	39	16	383	436	115	62	35	77	124	72	15	21	10	2054	2453	1134	711	1414	730	981	78	49	390	196	488	527	511	791	428	155	153	113	72	60	74	194	121	55	73	48	69	65	12	66	38	53	155	0	11	108	40	86	0	5	73	96	36	30	29	16	17	24	20	11	15	24	7	1	0	0	5	7
45	East Carolina	11	67	35	20	390	424	121	37	19	70	138	93	35	18	17	2237	2233	1174	679	1479	688	651	83	12	396	211	590	558	562	1077	651	154	149	88	67	45	56	147	51	22	214	62	72	26	51	37	117	181	114	3	4	39	29	40	3	0	87	167	72	13	4	0	0	21	8	30	10	4	18	5	21	22	4	5
46	Duke	11	50	26	29	349	329	85	23	7	61	153	79	2	7	56	1909	1932	758	700	1039	658	488	50	7	380	174	378	481	552	1314	723	154	144	71	41	59	29	42	14	76	6	6	14	26	0	104	19	5	76	0	0	32	17	46	0	0	52	417	147	0	1	0	0	0	3	0	12	21	0	0	0	0	70	1
47	Fresno State	11	55	26	29	377	319	86	16	12	64	185	93	11	0	56	2070	1805	746	755	1098	553	291	56	0	331	274	524	534	505	1567	751	122	174	64	39	54	46	81	32	66	44	0	0	39	28	108	56	66	0	1	1	52	24	67	3	0	61	507	168	16	0	0	2	3	0	12	30	0	0	0	0	0	70	12
48	Ohio State	11	71	34	21	408	444	135	46	26	86	150	69	32	30	20	2244	2236	1337	702	1593	761	875	92	29	467	233	423	532	724	1149	583	194	182	81	78	61	88	196	92	59	203	95	90	21	0	84	103	96	195	1	1	71	36	69	3	0	109	193	60	14	17	5	5	10	10	10	25	20	40	10	20	30	5	3
49	Houston	11	68	35	20	394	452	118	47	20	90	146	76	21	22	20	2219	2338	1331	676	1319	735	885	74	28	543	240	481	504	748	1107	614	178	163	95	58	71	70	146	74	68	120	69	71	57	12	96	71	98	183	7	3	46	23	51	1	3	101	198	68	5	11	6	1	13	8	21	19	12	12	3	8	24	8	5
50	Rice	11	53	25	30	371	314	82	21	9	63	188	74	5	14	56	2079	1835	779	749	997	554	423	51	6	397	259	412	507	525	1575	641	123	180	59	29	72	46	64	22	69	20	20	26	59	0	102	32	12	148	1	0	33	20	55	0	0	58	489	126	13	15	1	0	0	4	0	18	42	0	0	0	0	70	12
51	Idaho	9	56	22	14	368	290	93	14	5	73	114	53	17	6	11	1968	1717	886	683	1266	480	296	62	0	414	203	400	596	442	917	384	115	164	39	25	61	17	29	9	62	57	15	6	36	22	85	52	84	55	1	0	21	32	18	6	0	73	131	39	37	11	8	0	3	2	24	9	7	0	0	4	0	5	11
52	Washington	11	54	29	26	330	312	80	31	18	55	132	67	30	34	33	1896	1779	740	541	928	440	503	48	14	366	143	326	504	478	1048	534	111	91	56	25	52	63	132	42	27	119	68	76	29	0	61	99	53	173	4	4	22	28	22	5	4	61	220	78	21	23	10	0	24	12	0	22	18	26	6	32	52	16	9
53	Kansas	10	63	26	19	365	318	127	26	25	62	137	52	31	26	16	1988	1743	917	651	1471	612	467	96	9	345	212	328	520	410	974	400	180	177	47	63	78	58	169	60	28	173	71	52	18	3	48	93	67	156	0	0	42	32	38	6	0	68	136	36	34	34	8	14	26	24	13	39	30	26	8	10	11	6	4
54	Southern Methodist	12	61	36	30	408	455	95	40	7	78	182	116	10	8	56	2322	2516	1135	844	1188	785	821	60	15	469	245	654	526	752	1547	968	154	160	142	78	61	33	50	24	54	44	15	16	51	21	95	59	68	83	0	0	27	27	44	3	0	89	477	203	4	7	7	0	1	0	12	24	21	0	0	0	0	70	12
55	Kent	10	53	23	22	303	239	74	16	24	64	166	55	12	26	23	1740	1208	546	544	880	303	242	28	3	367	267	347	355	344	1015	320	108	192	30	40	39	76	121	43	38	48	65	39	96	11	64	37	25	191	0	0	86	44	89	1	1	63	215	42	24	25	19	7	12	32	6	26	39	4	1	0	10	15	7
56	Pittsburgh	11	62	32	23	371	411	107	35	16	82	143	88	17	7	35	2066	2086	1073	676	1251	732	679	78	13	473	196	480	465	676	1064	722	181	140	107	61	73	47	117	63	58	79	11	14	30	15	59	99	76	60	1	0	78	27	64	0	0	99	274	125	14	15	6	0	7	3	11	46	15	0	0	3	0	35	2
57	Kentucky	10	59	26	19	350	296	106	26	24	57	127	51	30	28	15	1923	1670	802	648	1292	520	427	74	9	363	178	297	437	365	889	371	121	137	45	56	49	74	133	61	58	154	72	56	23	1	66	89	65	149	3	0	51	36	44	2	0	39	124	33	30	30	12	8	16	19	14	33	28	36	9	8	12	5	10
58	Louisville	10	60	28	17	390	343	111	34	16	61	127	52	19	18	16	2054	1948	946	702	1394	609	606	82	19	339	226	347	580	461	1029	406	140	136	54	78	70	74	113	52	39	131	67	54	41	0	83	79	58	111	3	1	39	12	40	2	0	72	171	48	8	2	0	0	1	13	0	7	4	18	5	16	22	4	5
59	Louisiana Tech	10	81	40	5	491	646	183	84	12	135	43	33	8	2	1	2700	3653	2457	868	2308	1433	2005	177	101	863	85	258	654	1096	346	289	345	63	86	96	113	47	107	77	113	42	8	12	15	4	127	29	63	23	1	0	56	9	19	0	0	157	13	6	2	0	0	2	0	0	21	1	1	0	0	0	0	0	12
60	Louisiana Monroe	8	58	22	6	377	303	116	25	12	76	67	27	6	3	1	2076	1826	979	708	1459	564	496	93	12	499	173	271	479	401	461	181	147	117	32	53	86	45	90	35	86	31	15	13	45	8	116	17	28	33	2	1	55	21	29	3	0	60	15	4	25	5	0	0	2	1	3	1	1	0	0	0	0	0	11
61	Minnesota	11	66	34	21	413	400	122	46	23	57	150	69	32	30	20	2285	2333	1119	733	1460	667	783	87	29	385	245	439	592	456	1213	492	115	178	81	60	81	80	163	78	55	206	95	90	24	0	65	102	95	195	1	1	42	22	54	2	0	40	192	60	14	16	5	7	11	10	10	26	20	40	10	20	30	5	3
62	Miami Ohio	11	70	37	18	399	477	143	55	30	81	125	78	19	12	20	2143	2607	1423	654	1598	999	1067	116	38	493	179	441	508	637	755	593	224	134	126	68	84	87	180	107	82	89	23	36	37	6	114	68	69	64	7	0	82	39	90	7	0	59	176	80	22	26	8	9	24	19	7	34	20	6	1	2	0	15	7
63	Vanderbilt	11	67	35	20	358	418	115	43	25	78	128	79	37	28	15	2099	2144	1207	672	1374	684	754	81	18	419	173	432	425	582	887	557	159	143	94	42	64	60	143	75	22	174	67	84	17	20	30	95	154	158	0	0	63	30	60	3	0	93	120	48	32	32	12	8	19	16	35	32	28	36	9	8	12	5	10
64	Middle Tennessee State	9	68	31	5	426	454	142	53	14	100	52	28	5	2	1	2310	2658	1575	794	1769	886	1127	118	48	595	108	265	551	684	362	207	229	88	58	65	111	54	120	65	78	32	8	10	30	4	136	14	32	26	2	1	62	21	25	3	0	108	14	5	18	0	0	0	2	1	3	1	1	0	0	0	0	0	11
65	Illinois	11	68	34	21	423	428	129	46	21	69	150	69	30	30	20	2342	2459	1279	727	1596	788	832	95	29	425	246	456	641	564	1222	574	149	179	81	47	67	69	140	85	63	177	100	90	21	0	65	92	90	190	3	0	52	29	34	0	0	69	200	60	23	10	5	5	10	10	10	20	20	40	10	20	30	5	3
66	Mississippi State	11	66	35	20	365	397	133	47	37	62	133	71	28	32	15	2099	2165	1065	630	1555	793	775	112	28	370	195	389	470	435	890	483	192	161	89	49	43	97	235	109	36	131	80	83	16	4	37	60	69	182	5	7	88	31	97	0	3	55	122	45	33	33	21	10	26	18	14	28	31	36	9	8	12	5	10
67	Memphis	11	66	36	19	398	419	126	50	28	61	143	75	21	24	16	2200	2324	1109	707	1485	768	778	104	31	365	254	515	549	434	1060	524	132	150	98	85	64	84	174	120	63	144	75	77	70	12	72	74	81	164	10	7	73	13	72	2	3	42	164	57	11	14	10	11	3	15	0	7	11	18	5	16	22	4	5
68	Nevada	12	58	34	32	403	395	89	23	6	61	193	131	19	9	57	2253	2287	896	816	1224	662	439	56	0	364	258	736	605	544	1675	939	123	185	99	72	40	29	38	20	38	94	19	9	36	70	62	91	140	87	0	0	25	29	40	0	0	63	485	211	4	11	14	1	0	0	30	24	22	0	0	5	0	70	12
69	Oregon	11	58	29	26	341	352	98	31	15	70	138	67	30	34	33	1873	1785	889	541	1149	648	565	57	14	420	158	324	503	598	1058	617	185	109	56	68	43	52	82	48	50	125	71	76	29	0	70	98	76	168	3	0	52	29	41	5	4	87	232	78	21	23	10	0	1	18	0	22	18	26	6	32	52	16	9
70	New Mexico State	11	76	42	13	456	602	139	72	13	122	104	79	14	4	10	2447	3254	1981	753	1704	1102	1574	89	56	775	182	574	642	1040	802	627	264	132	166	87	79	55	79	60	86	63	11	20	48	23	115	49	116	43	4	0	55	24	46	3	0	138	114	54	19	1	0	1	3	5	28	6	6	0	0	0	0	5	11
71	South Carolina	11	66	35	20	357	419	120	48	26	72	127	69	31	33	15	2102	2174	1225	589	1370	764	864	94	30	425	176	386	443	556	830	508	168	139	86	41	72	77	140	83	26	147	68	89	32	2	41	97	91	188	1	0	60	25	62	4	3	79	110	41	26	43	18	9	16	21	14	33	35	36	9	8	12	5	10
72	Ohio	10	57	25	20	342	299	102	24	22	64	144	55	13	18	23	1865	1635	780	592	1170	543	402	69	8	396	194	348	437	402	921	428	148	169	50	48	65	67	140	65	68	62	34	36	56	3	86	51	32	119	1	1	74	49	52	1	0	45	215	54	18	19	6	7	13	26	6	32	27	4	1	0	10	15	7
73	Iowa State	11	66	34	21	380	402	114	44	30	83	146	70	26	34	17	2141	2183	1159	634	1328	684	776	74	25	530	250	418	508	631	1037	512	175	170	82	41	74	109	164	89	70	114	92	84	61	4	66	81	70	210	4	2	53	18	66	0	4	83	140	44	29	30	22	14	25	33	14	30	36	26	6	9	18	5	4
74	San Jose State	11	56	26	29	384	330	96	16	11	63	184	93	12	0	56	2091	1829	764	796	1200	636	296	74	0	323	270	526	527	507	1562	789	144	173	64	63	63	45	88	35	65	43	0	0	38	28	104	63	74	0	1	0	41	25	56	9	0	58	507	168	16	0	0	2	4	0	12	30	0	0	0	0	0	70	12
75	Nebraska	11	68	34	21	380	402	130	45	37	78	148	68	28	35	17	2100	2201	1115	609	1525	698	753	107	27	451	235	408	522	561	983	496	187	180	80	55	59	114	279	115	46	131	84	86	63	4	83	67	68	240	2	8	66	22	69	4	6	82	143	41	34	37	15	15	34	30	13	32	43	27	8	9	14	6	4
76	Southern Mississippi	10	59	26	19	372	312	105	24	15	57	143	56	23	24	16	2056	1788	870	674	1237	528	422	70	7	347	238	384	490	393	1065	413	111	159	42	46	72	57	94	32	59	150	79	53	49	12	97	84	78	165	3	2	39	28	42	4	3	42	170	41	26	15	10	0	3	16	3	4	11	18	5	16	22	4	5
77	Tennessee	11	56	32	23	321	281	80	27	30	43	151	84	34	39	15	1922	1573	570	587	946	335	302	40	3	283	239	502	368	234	980	383	72	163	57	59	35	87	151	59	23	137	92	84	49	37	39	102	97	209	4	5	52	36	83	3	6	22	111	42	37	53	41	8	28	21	21	32	34	36	9	8	12	5	10
78	Stanford	11	58	29	26	358	350	98	32	13	61	144	64	30	37	32	1900	1964	920	563	1233	643	588	82	16	360	173	323	562	507	1072	564	121	122	56	60	56	54	72	40	38	127	83	68	53	0	82	101	77	242	3	1	32	33	27	5	12	73	216	72	16	20	12	0	1	19	1	24	24	26	6	32	48	16	9
79	Washington State	11	48	26	29	292	228	58	19	17	38	152	64	33	49	33	1774	1293	461	508	719	252	215	30	4	258	187	286	452	241	1165	357	42	110	25	22	32	48	65	39	9	133	100	76	61	15	15	114	87	280	5	4	47	16	49	5	10	43	217	53	15	41	24	2	2	22	6	17	43	27	12	32	52	16	9
