mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#flpa	D#louvain	D#markov	D#sbm	cD#class
54	Kent	0.087719	0.008238	0.373770	0.003906	0.488889	7	2	0	0	7
55	Pittsburgh	0.096491	0.008914	0.393103	0.011734	0.418182	8	6	5	7	2
56	Kentucky	0.087719	0.008239	0.381271	0.009540	0.422222	6	1	2	4	10
57	Louisville	0.087719	0.008308	0.397213	0.010380	0.377778	9	8	7	2	5
58	Louisiana Tech	0.087719	0.008325	0.436782	0.028823	0.111111	2	1	11	2	12
59	Louisiana Monroe	0.070175	0.007002	0.397213	0.010866	0.214286	2	1	11	2	11
60	Minnesota	0.096491	0.008854	0.411552	0.015203	0.381818	2	4	3	5	3
61	Miami Ohio	0.096491	0.008955	0.404255	0.020755	0.327273	7	2	0	0	7
62	Vanderbilt	0.096491	0.008923	0.391753	0.014198	0.363636	6	1	2	4	10
63	Middle Tennessee State	0.078947	0.007711	0.419118	0.018286	0.138889	2	1	11	2	11
64	Illinois	0.096491	0.008814	0.417582	0.020365	0.381818	2	4	3	5	3
65	Mississippi State	0.096491	0.008960	0.395833	0.010095	0.363636	6	1	2	4	10
66	Memphis	0.096491	0.009006	0.401408	0.010700	0.345455	9	8	7	2	5
67	Nevada	0.105263	0.009415	0.401408	0.011810	0.484848	10	0	8	9	12
68	Oregon	0.096491	0.008809	0.391753	0.010757	0.472727	4	5	4	6	9
69	New Mexico State	0.096491	0.008978	0.422222	0.024139	0.236364	0	9	10	1	11
70	South Carolina	0.096491	0.008963	0.404255	0.015190	0.363636	6	1	2	4	10
71	Ohio	0.087719	0.008236	0.391753	0.012567	0.444444	7	2	0	0	7
72	Iowa State	0.096491	0.008829	0.410072	0.016295	0.381818	3	3	1	3	4
73	San Jose State	0.096491	0.008714	0.385135	0.008117	0.527273	10	0	8	9	12
74	Nebraska	0.096491	0.008795	0.400000	0.010170	0.381818	3	3	1	3	4
75	Southern Mississippi	0.087719	0.008261	0.397213	0.011681	0.422222	9	8	7	2	5
76	Tennessee	0.096491	0.009016	0.378738	0.005947	0.418182	6	1	2	4	10
77	Stanford	0.096491	0.008799	0.391753	0.011901	0.472727	4	5	4	6	9
78	Washington State	0.096491	0.008869	0.366559	0.005523	0.527273	4	5	4	6	9
79	Temple	0.096491	0.008934	0.391753	0.008171	0.472727	8	6	5	7	2
80	Navy	0.096491	0.008925	0.435115	0.029161	0.181818	8	6	5	7	6
81	Texas A&M	0.096491	0.008804	0.405694	0.011510	0.363636	3	3	1	3	4
82	Notre Dame	0.096491	0.008839	0.422222	0.033533	0.145455	8	6	5	7	6
83	Texas ElPaso	0.096491	0.008729	0.394464	0.006637	0.563636	10	0	8	9	12
84	Oklahoma	0.105263	0.009500	0.385135	0.007433	0.381818	3	3	1	3	4
85	Toledo	0.078947	0.007556	0.393103	0.008034	0.361111	5	2	0	0	7
86	Tulane	0.096491	0.008959	0.410072	0.012378	0.363636	9	8	7	2	5
87	Mississippi	0.096491	0.008943	0.408602	0.014200	0.345455	6	1	2	4	10
88	Tulsa	0.105263	0.009467	0.430189	0.020079	0.454545	10	0	8	9	12
89	North Carolina	0.096491	0.008884	0.404255	0.017157	0.509091	1	7	6	8	1
90	Utah State	0.078947	0.007567	0.391753	0.008620	0.333333	0	9	10	1	6
91	Army	0.096491	0.008946	0.416058	0.016539	0.363636	9	8	7	2	5
92	Cincinnati	0.096491	0.008921	0.423792	0.023836	0.327273	9	8	7	2	5
93	Air Force	0.087719	0.008139	0.408602	0.013953	0.511111	0	0	9	1	8
94	Rutgers	0.087719	0.008222	0.391753	0.005317	0.600000	8	6	5	7	2
95	Georgia	0.087719	0.008236	0.385135	0.006927	0.444444	6	1	2	4	10
96	Louisiana State	0.087719	0.008251	0.376238	0.006940	0.422222	6	1	2	4	10
97	Louisiana Lafayette	0.070175	0.006961	0.395833	0.010385	0.214286	2	1	11	2	11
98	Texas	0.096491	0.008899	0.387755	0.014140	0.363636	3	3	1	3	4
99	Marshall	0.096491	0.008952	0.376238	0.009063	0.422222	7	2	0	0	7
100	Michigan State	0.096491	0.008783	0.402827	0.011781	0.400000	2	4	3	5	3
101	Miami Florida	0.087719	0.008223	0.404255	0.018287	0.466667	8	6	5	7	2
102	Missouri	0.087719	0.008158	0.401408	0.015927	0.422222	3	3	1	3	4
103	Clemson	0.087719	0.008207	0.390411	0.013536	0.622222	1	7	6	8	1
104	Nevada Las Vegas	0.105263	0.009514	0.422222	0.018819	0.363636	0	0	9	1	8
105	Wake Forest	0.087719	0.008201	0.386441	0.004372	0.666667	1	7	6	8	1
106	Indiana	0.096491	0.008798	0.426966	0.020498	0.400000	2	4	3	5	3
107	Oklahoma State	0.087719	0.008150	0.398601	0.010361	0.422222	3	3	1	3	4
108	Oregon State	0.087719	0.008110	0.354037	0.003002	0.577778	4	5	4	6	9
109	Maryland	0.096491	0.008938	0.391753	0.008957	0.527273	1	7	6	8	1
110	Texas Christian	0.096491	0.008753	0.413043	0.014370	0.509091	10	0	8	9	5
111	California	0.096491	0.008794	0.382550	0.007516	0.472727	4	5	4	6	9
112	Alabama Birmingham	0.087719	0.008342	0.395833	0.011582	0.288889	9	8	7	2	5
113	Arkansas	0.087719	0.008319	0.377483	0.006498	0.444444	6	1	2	4	10
114	Hawaii	0.096491	0.008734	0.413043	0.010246	0.545455	10	0	8	9	12
