mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#louvain	D#infomap	cD#class
213	java.awt.event.MouseMotionAdapter	0.003300	0.000288	0.477165	0.000039	0.700000	2	0	7
214	java.awt.event.MouseMotionListener	0.017822	0.000945	0.342915	0.000058	0.153846	2	2	7
215	java.awt.event.MouseWheelEvent	0.006601	0.000454	0.483254	0.000047	0.711111	2	2	7
216	java.awt.event.MouseWheelListener	0.015842	0.000820	0.342450	0.000035	0.184783	2	2	7
217	java.awt.event.NativeLibLoader	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	7
218	java.awt.event.PaintEvent	0.016502	0.000858	0.484180	0.000474	0.316667	2	2	7
219	java.awt.event.TextEvent	0.004620	0.000359	0.481564	0.000181	0.714286	2	2	7
220	java.awt.event.TextListener	0.004620	0.000331	0.334733	0.000004	0.333333	2	2	7
221	java.awt.event.WindowAdapter	0.004620	0.000373	0.477617	0.000398	0.428571	2	2	7
222	java.awt.event.WindowEvent	0.007921	0.000543	0.483254	0.000405	0.575758	2	2	7
223	java.awt.event.WindowFocusListener	0.005941	0.000401	0.336741	0.000008	0.361111	2	2	7
224	java.awt.event.WindowListener	0.005941	0.000401	0.336741	0.000008	0.361111	2	2	7
225	java.awt.event.WindowStateListener	0.005941	0.000401	0.336741	0.000008	0.361111	2	2	7
226	java.awt.font.CharArrayIterator	0.002640	0.000265	0.476715	0.000004	0.666667	0	31	8
227	java.awt.font.FontRenderContext	0.007921	0.000553	0.480800	0.000005	0.696970	5	3	8
228	java.awt.font.GlyphJustificationInfo	0.004620	0.000383	0.477316	0.000000	0.809524	5	3	8
229	java.awt.font.GlyphMetrics	0.003300	0.000292	0.477617	0.000000	1.000000	5	3	8
230	java.awt.font.GlyphVector	0.009901	0.000661	0.481717	0.000077	0.571429	5	3	8
231	java.awt.font.GraphicAttribute	0.006601	0.000489	0.478824	0.000050	0.800000	5	3	8
232	java.awt.font.ImageGraphicAttribute	0.006601	0.000477	0.480647	0.000053	0.711111	5	3	8
233	java.awt.font.LayoutPath	0.003300	0.000293	0.477316	0.000000	1.000000	5	3	8
234	java.awt.font.LineBreakMeasurer	0.004620	0.000381	0.477466	0.000003	0.714286	5	31	8
235	java.awt.font.LineMetrics	0.003300	0.000280	0.478673	0.000000	1.000000	2	0	8
236	java.awt.font.MultipleMaster	0.000660	0.000131	0.332018	0.000000	0.000000	2	2	8
237	java.awt.font.NumericShaper	0.002640	0.000259	0.476715	0.000000	0.833333	0	0	8
238	java.awt.font.OpenType	0.000660	0.000140	0.468605	0.000000	0.000000	0	0	8
239	java.awt.font.ShapeGraphicAttribute	0.005941	0.000447	0.478673	0.000050	0.777778	5	3	8
240	java.awt.font.StyledParagraph	0.003300	0.000298	0.477015	0.000002	0.800000	0	0	8
241	java.awt.font.TextAttribute	0.003960	0.000373	0.476865	0.000000	0.800000	0	0	8
242	java.awt.font.TextHitInfo	0.004620	0.000369	0.477617	0.000049	0.523810	2	2	8
243	java.awt.font.TextJustifier	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	8
244	java.awt.font.TextLayout	0.011881	0.000797	0.482484	0.000098	0.450980	5	3	8
245	java.awt.font.TextLine	0.008581	0.000588	0.481717	0.000063	0.589744	5	3	8
246	java.awt.font.TextMeasurer	0.004620	0.000374	0.477466	0.000018	0.619048	5	3	8
247	java.awt.font.TransformAttribute	0.003300	0.000293	0.477316	0.000000	0.900000	0	0	8
248	java.awt.geom.AffineTransform	0.029703	0.001822	0.486825	0.000335	0.271670	5	3	9
249	java.awt.geom.Arc2D	0.006601	0.000474	0.479886	0.000053	0.822222	5	3	9
250	java.awt.geom.ArcIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
251	java.awt.geom.Area	0.006601	0.000471	0.480038	0.000119	0.666667	5	3	9
252	java.awt.geom.AreaIterator	0.003960	0.000336	0.477617	0.000055	0.600000	5	3	9
253	java.awt.geom.CubicCurve2D	0.006601	0.000471	0.480038	0.000119	0.666667	5	3	9
254	java.awt.geom.CubicIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
255	java.awt.geom.Dimension2D	0.007261	0.000511	0.480190	0.000020	0.690909	5	3	9
256	java.awt.geom.Ellipse2D	0.006601	0.000474	0.479886	0.000053	0.822222	5	3	9
257	java.awt.geom.EllipseIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
258	java.awt.geom.FlatteningPathIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
259	java.awt.geom.GeneralPath	0.005941	0.000433	0.479886	0.000102	0.777778	5	3	9
260	java.awt.geom.IllegalPathStateException	0.004620	0.000373	0.477316	0.000000	0.952381	1	1	9
261	java.awt.geom.Line2D	0.007921	0.000535	0.480038	0.000119	0.666667	5	3	9
262	java.awt.geom.LineIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
263	java.awt.geom.NoninvertibleTransformException	0.004620	0.000372	0.477617	0.000000	0.952381	1	1	9
264	java.awt.geom.Path2D	0.006601	0.000471	0.480038	0.000119	0.666667	5	3	9
265	java.awt.geom.PathIterator	0.015182	0.001128	0.337266	0.000051	0.142292	5	3	9
266	java.awt.geom.Point2D	0.023102	0.001448	0.484490	0.000364	0.314286	5	3	9
267	java.awt.geom.QuadCurve2D	0.006601	0.000471	0.480038	0.000119	0.666667	5	3	9
268	java.awt.geom.QuadIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
269	java.awt.geom.RectIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
270	java.awt.geom.Rectangle2D	0.032343	0.001973	0.486825	0.000626	0.247343	5	3	9
271	java.awt.geom.RectangularShape	0.009901	0.000665	0.480647	0.000121	0.692308	5	3	9
272	java.awt.geom.RoundRectIterator	0.002640	0.000262	0.476865	0.000053	0.500000	5	0	9
273	java.awt.geom.RoundRectangle2D	0.006601	0.000474	0.479886	0.000053	0.822222	5	3	9
274	java.awt.im.InputContext	0.016502	0.000852	0.485888	0.000005	0.536232	2	2	10
275	java.awt.im.InputMethodHighlight	0.003300	0.000287	0.478976	0.000001	0.800000	3	0	10
276	java.awt.im.InputMethodRequests	0.017162	0.000878	0.344867	0.000037	0.230769	2	2	10
277	java.awt.im.InputSubset	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	10
278	java.awt.im.spi.InputMethod	0.004620	0.000373	0.469622	0.000012	0.333333	2	2	11
279	java.awt.im.spi.InputMethodContext	0.005281	0.000402	0.474922	0.000027	0.428571	2	2	11
280	java.awt.im.spi.InputMethodDescriptor	0.002640	0.000249	0.471229	0.000007	0.500000	2	2	11
281	java.awt.image.AffineTransformOp	0.008581	0.000576	0.481411	0.000209	0.589744	5	3	12
282	java.awt.image.AreaAveragingScaleFilter	0.005941	0.000439	0.479734	0.000124	0.750000	5	27	12
283	java.awt.image.BandCombineOp	0.005941	0.000440	0.478824	0.000109	0.694444	5	3	12
284	java.awt.image.BandedSampleModel	0.003960	0.000358	0.476865	0.000000	1.000000	0	0	12
285	java.awt.image.BufferStrategy	0.006601	0.000418	0.482177	0.000000	0.888889	2	2	12
286	java.awt.image.BufferedImage	0.023102	0.001382	0.485421	0.001462	0.298387	5	3	12
287	java.awt.image.BufferedImageFilter	0.006601	0.000473	0.479886	0.000240	0.488889	5	27	12
288	java.awt.image.BufferedImageOp	0.007921	0.000535	0.338699	0.000006	0.454545	5	3	12
289	java.awt.image.ByteLookupTable	0.002640	0.000274	0.476565	0.000000	1.000000	0	0	12
290	java.awt.image.ColorConvertOp	0.008581	0.000582	0.481411	0.000210	0.576923	5	3	12
291	java.awt.image.ColorModel	0.057426	0.003136	0.497700	0.002792	0.141673	2	3	12
292	java.awt.image.ComponentColorModel	0.005281	0.000406	0.479582	0.000000	0.892857	5	3	12
