mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
24	24	5	27	6	4	36	39	111	2	4	5	43	5	9	2	1	152	45	32	35	207	119	10	335	0	16	32	48	27	5	46	4	34	185	1	1	19	10	28	4	1	58	17	2	6	0	1	4	8	3	0	0	5	8	5	27	0	0	5	1	2	9	0	0	1	1	1	9	1	0	0	0	0	0	2
25	25	3	8	2	1	67	7	6	0	2	3	5	1	0	0	0	83	52	2	310	88	5	0	1	0	31	2	3	49	0	38	1	3	4	0	4	13	14	3	0	1	0	0	0	2	0	11	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
26	26	3	9	2	1	62	7	6	0	3	6	5	1	0	0	0	80	39	4	289	73	2	0	1	0	59	3	2	25	3	38	1	3	4	0	0	8	20	6	0	3	0	0	0	2	0	16	0	0	0	0	0	5	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
27	27	2	17	0	1	29	0	93	0	0	13	13	0	2	0	0	99	0	0	38	176	0	0	338	0	35	0	0	11	0	16	0	79	76	0	0	25	0	0	0	37	17	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	2
28	28	4	29	5	1	47	53	120	2	8	25	14	2	2	0	0	89	70	82	106	219	169	24	367	0	90	12	22	9	40	8	4	120	76	1	8	15	8	78	8	45	19	0	0	2	0	5	0	3	0	9	0	20	1	6	0	0	8	0	0	9	0	0	1	1	0	1	0	0	0	0	0	0	0	2
29	29	3	28	2	1	59	23	122	0	7	25	17	1	1	0	0	63	20	50	178	294	59	0	359	0	75	37	12	24	14	15	3	129	89	0	4	11	18	68	0	46	8	0	0	5	0	5	0	0	0	10	0	20	5	5	0	0	9	0	0	9	0	0	1	1	0	0	0	0	0	0	0	0	0	2
30	30	4	24	2	4	34	11	111	0	0	4	43	1	9	2	1	135	18	0	28	240	35	0	335	0	16	28	11	20	2	54	0	34	185	0	0	25	0	0	0	1	59	17	0	6	0	1	7	0	2	0	0	0	7	0	27	0	0	6	0	2	9	0	0	0	0	1	9	1	0	0	0	0	0	2
31	31	4	33	3	3	56	39	138	0	5	18	32	3	9	0	1	88	25	123	129	239	122	0	411	0	87	30	24	23	23	42	15	66	129	0	5	15	13	46	0	20	61	0	0	6	0	4	10	8	0	1	0	17	12	8	27	0	7	7	1	4	0	0	1	1	0	1	9	0	0	0	0	0	0	2
32	32	6	42	12	3	34	149	216	9	10	25	23	10	9	1	0	52	73	270	29	211	710	155	680	2	32	12	58	13	91	15	59	219	97	8	8	12	12	148	19	33	51	5	3	4	2	1	1	25	0	3	1	21	8	13	34	0	7	0	0	3	9	0	1	2	1	2	0	0	0	0	0	0	0	2
33	33	12	23	53	13	56	150	40	139	10	10	75	34	4	45	2	43	395	47	178	113	200	520	41	232	45	27	114	42	88	105	56	29	154	88	5	3	27	50	46	3	22	233	43	6	2	4	10	8	58	7	0	12	8	41	0	104	7	13	1	4	27	8	0	3	7	0	2	17	0	0	0	0	0	2
34	34	17	18	121	15	81	210	3	507	25	9	26	123	1	48	2	63	898	33	195	29	29	1095	0	1418	41	6	166	73	100	97	98	1	5	525	15	0	108	14	234	0	0	40	272	3	7	17	3	2	52	0	21	36	6	66	0	104	4	4	10	1	8	26	2	4	4	0	1	18	0	0	0	0	0	2
