mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#flpa	D#louvain	D#markov	D#sbm	cD#class
23	Lars Gustaf Ander	0.003521	0.000704	0.003521	0.000000	1.000000	8	39	83	16	1
24	Lena Kristina Samuelsson	0.003521	0.000704	0.003521	0.000000	1.000000	8	39	83	16	2
25	Rolv Erik Ryssdal	0.003521	0.000704	0.003521	0.000000	1.000000	8	39	83	16	1
26	Ruth Elisabeth Ropstad	0.003521	0.000704	0.003521	0.000000	1.000000	8	39	83	16	2
27	Åge Jan Danielsen	0.002113	0.000498	0.100157	0.000000	1.000000	9	12	132	18	1
28	Grethe Høiland	0.004930	0.000896	0.120113	0.002531	0.428571	9	12	132	18	2
29	Ingebrigt Steen Jensen	0.002113	0.000498	0.100157	0.000000	1.000000	9	12	132	18	1
30	Randi Helene Røed	0.002113	0.000498	0.100157	0.000000	1.000000	9	12	132	18	2
31	Åge Thoresen	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	1
32	Alvhild Hedstein	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	2
33	Bente Lie Nilsen	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	2
34	Cato Andreas Holmsen	0.009155	0.001124	0.099553	0.014106	0.538462	10	16	33	25	1
35	Hilde Vatne	0.009155	0.001172	0.085757	0.006710	0.538462	10	16	33	25	2
36	Jan Magne Borgen	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	1
37	Jon Reidar Gundersen	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	1
38	Knut Hartvig Johannson	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	1
39	Sverre Leiro	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	1
40	Sverre Lorentzen	0.006338	0.000748	0.085643	0.000000	1.000000	10	16	33	25	1
41	Agnar Gravdal	0.004930	0.000803	0.082195	0.000837	0.714286	0	4	15	15	1
42	Anette Sofie Olsen	0.008451	0.001339	0.082261	0.005045	0.378788	0	4	15	15	2
43	Cecilie Blydt Heuch	0.003521	0.000599	0.072404	0.000000	1.000000	0	4	15	15	2
44	Jan Peter Valheim	0.004930	0.000803	0.082195	0.000837	0.714286	0	4	15	15	1
45	Øivin Fjeldstad	0.003521	0.000599	0.072404	0.000000	1.000000	0	4	15	15	1
46	Per Oscar Lund	0.002817	0.000491	0.082155	0.000000	1.000000	0	4	15	15	1
47	Stephen Knudtzon	0.003521	0.000599	0.072404	0.000000	1.000000	0	4	15	15	1
48	Agnes Beathe Lindeman Steen Fosse	0.003521	0.000569	0.099786	0.000000	1.000000	11	6	53	7	2
49	Bengt Olof Thuresson	0.003521	0.000569	0.099786	0.000000	1.000000	11	6	53	7	1
50	Ingvild Huseby	0.003521	0.000569	0.099786	0.000000	1.000000	11	6	53	7	2
51	Nils Kloumann Selte	0.006338	0.001024	0.104657	0.012729	0.444444	11	6	18	7	1
52	Pål Hvammen	0.006338	0.001052	0.099864	0.003371	0.444444	11	6	53	7	1
53	Peter Arne Ruzicka	0.009859	0.001216	0.115744	0.017055	0.505495	11	6	5	31	1
54	Alexander Sunde	0.002113	0.000533	0.078807	0.000000	1.000000	12	0	2	6	1
55	Bjørn Petter Paulsen	0.002113	0.000533	0.078807	0.000000	1.000000	12	0	2	6	1
56	Morten Garmann	0.004930	0.001019	0.090658	0.002531	0.428571	12	0	2	6	1
57	Olav Nils Sunde	0.002113	0.000533	0.078807	0.000000	1.000000	12	0	2	6	1
58	Alexander Vicefield	0.004225	0.000636	0.105780	0.000000	1.000000	13	4	14	21	1
59	Anil Gajanan Deshpande	0.004225	0.000636	0.105780	0.000000	1.000000	13	4	14	21	1
60	Geir Tore Hjelle	0.004225	0.000636	0.105780	0.000000	1.000000	13	4	14	21	1
61	Marianne Lie	0.013380	0.001868	0.115875	0.013205	0.245614	3	4	14	21	2
62	Philippa Dale Wright	0.004225	0.000636	0.105780	0.000000	1.000000	13	4	14	21	2
63	Riulf Karsten Rustad	0.005634	0.000931	0.105824	0.001689	0.571429	13	4	14	21	1
64	Alexandra Bech Gjørv	0.003521	0.000499	0.102789	0.000000	1.000000	14	11	5	26	2
65	Åse Aulie Michelet	0.016197	0.001945	0.122233	0.073208	0.245059	11	6	5	31	2
66	Eivind Kristofer Reiten	0.009155	0.001099	0.103161	0.014918	0.487179	15	18	45	26	1
67	Finn Johnsson	0.003521	0.000499	0.102789	0.000000	1.000000	14	11	5	26	1
68	Helge Evju	0.003521	0.000499	0.102789	0.000000	1.000000	14	11	5	26	1
69	Liv Gisele Marchand	0.011268	0.001524	0.103557	0.030295	0.291667	14	11	23	22	2
70	Alf Boy Asheim	0.002113	0.000566	0.068622	0.000000	1.000000	16	11	84	4	1
71	Anne-Marie Erdal	0.002113	0.000566	0.068622	0.000000	1.000000	16	11	84	4	2
72	Erik Gjellestad	0.002113	0.000566	0.068622	0.000000	1.000000	16	11	84	4	1
73	Eva Christina Eriksson	0.004225	0.000971	0.077437	0.002531	0.400000	17	11	84	4	2
74	Alf Christian Thorkildsen	0.002817	0.000524	0.094365	0.000000	1.000000	18	8	24	10	1
75	John-Steinar Kvitvang	0.002817	0.000524	0.094365	0.000000	1.000000	18	8	24	10	1
76	Merete Alnes Mostue	0.002817	0.000524	0.094365	0.000000	1.000000	18	8	24	10	2
77	Merete Haugli	0.011268	0.001582	0.111853	0.008464	0.308333	19	8	24	10	2
78	Sturla Sand	0.002817	0.000524	0.094365	0.000000	1.000000	18	8	24	10	1
79	Alf Georg Aarthun	0.002817	0.000704	0.002817	0.000000	1.000000	20	47	96	1	1
80	Idar Jan Ekeland	0.002817	0.000704	0.002817	0.000000	1.000000	20	47	96	1	1
81	Jiangang Xu	0.002817	0.000704	0.002817	0.000000	1.000000	20	47	96	1	1
82	Siv Grete Lea	0.002817	0.000704	0.002817	0.000000	1.000000	20	47	96	1	2
83	Zhong Bei	0.002817	0.000704	0.002817	0.000000	1.000000	20	47	96	1	2
84	Alf Gerald Engstrøm	0.002817	0.000704	0.002817	0.000000	1.000000	21	48	97	4	1
85	Antti Mikael Auno	0.002817	0.000704	0.002817	0.000000	1.000000	21	48	97	4	1
86	Benedicte Tostrup	0.002817	0.000704	0.002817	0.000000	1.000000	21	48	97	4	2
87	Dorthe Lie	0.002817	0.000704	0.002817	0.000000	1.000000	21	48	97	4	2
88	Olav Madsen	0.002817	0.000704	0.002817	0.000000	1.000000	21	48	97	4	1
89	Alfons Louis Jozef Brusselmans	0.002817	0.000419	0.073221	0.000000	1.000000	22	1	7	30	1
90	Arne Møgster	0.002817	0.000419	0.073221	0.000000	1.000000	22	1	7	30	1
91	Britt Kathrine Drivenes	0.009155	0.001023	0.075575	0.000285	0.653846	23	1	7	30	2
92	Hege Charlotte Bakken	0.002817	0.000419	0.073221	0.000000	1.000000	22	1	7	30	2
93	Helge Singelstad	0.014085	0.001624	0.083331	0.012443	0.336842	23	1	7	30	1
94	Alfred Ydstebø	0.004225	0.000639	0.096552	0.000000	1.000000	24	8	24	10	1
95	Ellen Susanne Math Henrichsen	0.004225	0.000639	0.096552	0.000000	1.000000	24	8	24	10	2
96	Harald Sigurd Pedersen	0.007042	0.001084	0.096698	0.004837	0.466667	24	8	24	10	1
97	Ole Peter Ludvig Lorentzen	0.004225	0.000639	0.096552	0.000000	1.000000	24	8	24	10	1
98	Pia Magnhild Helena Gideon	0.004225	0.000639	0.096552	0.000000	1.000000	24	8	24	10	2
99	Stein Aukner	0.009859	0.001416	0.114452	0.010044	0.318681	24	8	24	10	1
100	Allan Åkerstedt	0.004930	0.000979	0.086877	0.000388	0.428571	25	12	6	13	1
101	Davide De Picciotto	0.002817	0.000581	0.082819	0.000000	1.000000	26	12	6	13	2
102	Gudrid Eide	0.002113	0.000482	0.086730	0.000000	1.000000	25	12	6	13	2
103	Hanna-Kaisa Nikkanen	0.007746	0.001406	0.095937	0.002422	0.309091	27	12	6	13	2
104	Hroar Nilsen	0.002817	0.000581	0.082819	0.000000	1.000000	26	12	6	13	1
105	Kristina Jacobsen	0.002817	0.000581	0.082819	0.000000	1.000000	26	12	6	13	2
106	Thor Lien	0.003521	0.000706	0.101225	0.002621	0.400000	25	12	6	13	1
107	Tonje Vegarud	0.002113	0.000482	0.086730	0.000000	1.000000	25	12	6	13	2
108	Amund Skarholt	0.002817	0.000502	0.092424	0.000000	1.000000	28	10	11	19	1
109	Anne Breiby	0.012676	0.001926	0.102072	0.014290	0.222222	29	10	19	13	2
110	Frode Teigen	0.002817	0.000502	0.092424	0.000000	1.000000	28	10	11	19	1
111	Thore Michalsen	0.002817	0.000502	0.092424	0.000000	1.000000	28	10	11	19	1
112	Torhild Widvey	0.011268	0.001732	0.103935	0.010785	0.225000	30	10	11	19	2
113	Amy Elizabeth Humphreys	0.003521	0.000595	0.091337	0.000000	1.000000	31	10	11	19	2
114	Audun Stensvold	0.003521	0.000595	0.091337	0.000000	1.000000	31	10	11	19	1
115	Elin Karfjell	0.007746	0.001205	0.098728	0.003034	0.327273	32	10	11	19	2
116	James Harry Miller	0.003521	0.000595	0.091337	0.000000	1.000000	31	10	11	19	1
117	Manuel Nicholas Stamatakis	0.003521	0.000595	0.091337	0.000000	1.000000	31	10	11	19	1
118	Anders-Preben Tengs	0.003521	0.000704	0.003521	0.000000	1.000000	33	40	85	1	1
119	Johannes Buhagen	0.003521	0.000704	0.003521	0.000000	1.000000	33	40	85	1	1
120	Kjell Dahl	0.003521	0.000704	0.003521	0.000000	1.000000	33	40	85	1	1
121	Laimonis Richards Alexanders Jaucis	0.003521	0.000704	0.003521	0.000000	1.000000	33	40	85	1	1
122	Siv Lippert	0.003521	0.000704	0.003521	0.000000	1.000000	33	40	85	1	2
123	Svein Dahl	0.003521	0.000704	0.003521	0.000000	1.000000	33	40	85	1	1
124	Anders Almestad	0.002817	0.000704	0.002817	0.000000	1.000000	34	49	98	16	1
125	Arne Guttorm Tande	0.002817	0.000704	0.002817	0.000000	1.000000	34	49	98	16	1
126	Britt Stene	0.002817	0.000704	0.002817	0.000000	1.000000	34	49	98	16	2
127	Lars Per Eikeland	0.002817	0.000704	0.002817	0.000000	1.000000	34	49	98	16	1
128	Linda Litlekalsøy Aase	0.002817	0.000704	0.002817	0.000000	1.000000	34	49	98	16	2
129	Anders Berggren	0.001408	0.000704	0.001408	0.000000	1.000000	35	92	155	0	1
130	John Olof Solberg	0.001408	0.000704	0.001408	0.000000	1.000000	35	92	155	0	1
131	Jorunn Ygre Storjohann	0.001408	0.000704	0.001408	0.000000	1.000000	35	92	155	0	2
132	Anders Eckhoff	0.002113	0.000527	0.081618	0.000000	1.000000	36	10	133	19	1
133	Arne Magnus Rise	0.002113	0.000527	0.081618	0.000000	1.000000	36	10	133	19	1
134	Gro Gauthun Kielland	0.004225	0.000850	0.094400	0.002531	0.400000	30	10	133	19	2
135	Liv Marit Lundby	0.002113	0.000527	0.081618	0.000000	1.000000	36	10	133	19	2
136	Anders Gunnestad Pedersen	0.002817	0.000554	0.068964	0.000000	1.000000	6	5	4	3	1
137	Inger Beate Svenneby Herland	0.004930	0.000870	0.077542	0.003672	0.571429	6	5	4	3	2
138	Jørgen Aaby	0.004225	0.000890	0.068982	0.001689	0.466667	6	5	156	3	1
139	Naja Dannow	0.005634	0.001075	0.069001	0.003371	0.428571	6	5	99	3	2
140	Anders Hedeboe Jakobsen	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	1
141	Jon Sigurd Svenningsen	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	1
142	Kåre Wessel	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	1
143	Linne Fromm-Christiansen	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	2
144	Marie-Christine Jansby	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	2
145	Mette Stendahl Plomgaard	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	2
146	Thomas Nørgaard	0.004225	0.000704	0.004225	0.000000	1.000000	37	29	60	7	1
147	Anders Hvide	0.004225	0.000633	0.077227	0.000000	1.000000	38	18	34	26	1
148	Anne Jorun Aas	0.004225	0.000633	0.077227	0.000000	1.000000	38	18	34	26	2
149	Birgitte Feginn Angelil	0.004225	0.000633	0.077227	0.000000	1.000000	38	18	34	26	2
150	Dia Stompanato Weil	0.004225	0.000633	0.077227	0.000000	1.000000	38	18	34	26	2
151	Erik Thorsen	0.007042	0.001101	0.077274	0.003371	0.466667	38	18	34	26	1
152	Hugo Lund Maurstad	0.009859	0.001233	0.088467	0.008367	0.472527	15	18	45	26	1
153	William Herman Crown	0.004225	0.000633	0.077227	0.000000	1.000000	38	18	34	26	1
154	Anders Kvarberg	0.001408	0.000704	0.001408	0.000000	1.000000	39	93	157	0	1
155	Geir Thomassen	0.001408	0.000704	0.001408	0.000000	1.000000	39	93	157	0	1
156	Nanna Gjerde	0.001408	0.000704	0.001408	0.000000	1.000000	39	93	157	0	2
157	Anders Meland	0.002113	0.000704	0.002113	0.000000	1.000000	40	74	134	1	1
158	Anne Sauro Hellsten	0.002113	0.000704	0.002113	0.000000	1.000000	40	74	134	1	2
159	Karianne Weyergang Marcussen	0.002113	0.000704	0.002113	0.000000	1.000000	40	74	134	1	2
160	Terje Johan Wulff	0.002113	0.000704	0.002113	0.000000	1.000000	40	74	134	1	1
161	Anders Paul Wiklund	0.004225	0.000631	0.080301	0.000000	1.000000	41	19	25	12	1
162	Annette Clancy	0.004225	0.000631	0.080301	0.000000	1.000000	41	19	25	12	2
163	Carl Christian Gilhuus-Moe	0.004225	0.000631	0.080301	0.000000	1.000000	41	19	25	12	1
164	Edward Karol Sikora	0.004225	0.000631	0.080301	0.000000	1.000000	41	19	25	12	1
165	Geir Stormorken	0.004225	0.000631	0.080301	0.000000	1.000000	41	19	25	12	1
166	Hilde Hermansen Steineger	0.009155	0.001212	0.092508	0.009193	0.461538	42	19	20	12	2
167	Karin Cecilie Kullmann Five	0.007746	0.001152	0.080364	0.004208	0.454545	41	19	25	12	2
168	Anders Skjævestad	0.001408	0.000704	0.001408	0.000000	1.000000	43	94	158	0	1
169	Anne Sofie Bjørkholt	0.001408	0.000704	0.001408	0.000000	1.000000	43	94	158	0	2
170	Jon Henrik Bruvoll	0.001408	0.000704	0.001408	0.000000	1.000000	43	94	158	0	1
171	Anders Talleraas	0.004225	0.000709	0.005030	0.000000	1.000000	44	22	26	24	1
172	Hege Sævik Rabben	0.007042	0.001196	0.007042	0.000024	0.466667	44	22	26	24	2
173	Helge Aarseth	0.004225	0.000709	0.005030	0.000000	1.000000	44	22	26	24	1
174	Janicke Westlie Driveklepp	0.004225	0.000709	0.005030	0.000000	1.000000	44	22	26	24	2
175	Jill Annette Aasen	0.004225	0.000709	0.005030	0.000000	1.000000	44	22	26	24	2
176	Per Rolf Sævik	0.004225	0.000709	0.005030	0.000000	1.000000	44	22	26	24	1
177	Roger Granheim	0.004225	0.000709	0.005030	0.000000	1.000000	44	22	26	24	1
178	Anders Thuve	0.001408	0.000395	0.056388	0.000000	1.000000	45	5	4	3	1
179	Ola Krohn-Fagervoll	0.003521	0.000825	0.062162	0.007540	0.400000	46	5	4	3	1
180	Susanne Lene Rangnes Schneider	0.002817	0.000701	0.056432	0.005878	0.333333	45	5	4	3	2
181	Andrew Seth Weinberg	0.002113	0.000704	0.002113	0.000000	1.000000	47	75	135	9	1
182	Egil Bodd	0.002113	0.000704	0.002113	0.000000	1.000000	47	75	135	9	1
183	Lance Lloyd Hirt	0.002113	0.000704	0.002113	0.000000	1.000000	47	75	135	9	1
184	Stig Terje Sunde	0.002113	0.000704	0.002113	0.000000	1.000000	47	75	135	9	1
185	Anna Synnøve Bye	0.003521	0.000627	0.072404	0.000000	1.000000	48	4	15	15	2
186	Carsten Andreas Mellbye	0.003521	0.000627	0.072404	0.000000	1.000000	48	4	15	15	1
187	Håvar Poulsson	0.003521	0.000627	0.072404	0.000000	1.000000	48	4	15	15	1
188	Pauline Mary Walsh	0.003521	0.000627	0.072404	0.000000	1.000000	48	4	15	15	2
189	Thomas Fredrik Olsen	0.003521	0.000627	0.072404	0.000000	1.000000	48	4	15	15	1
190	Anette Solstad	0.003521	0.000580	0.091484	0.000000	1.000000	5	9	82	15	2
191	Harald Magne Eikesdal	0.003521	0.000580	0.091484	0.000000	1.000000	5	9	82	15	1
192	Ketil Lenning	0.003521	0.000580	0.091484	0.000000	1.000000	5	9	82	15	1
193	Per Gunnar Solstad	0.003521	0.000580	0.091484	0.000000	1.000000	5	9	82	15	1
194	Terje Vareberg	0.007746	0.001109	0.103182	0.003912	0.454545	49	9	82	15	1
195	Aniela Gabriela Gjøs	0.002817	0.000475	0.089643	0.000000	1.000000	50	7	8	5	2
196	Bernd Hubert Joachim Bothe	0.002817	0.000475	0.089643	0.000000	1.000000	50	7	8	5	1
197	Hege Marie Norheim	0.002817	0.000475	0.089643	0.000000	1.000000	50	7	8	5	2
198	Per Arthur Sørlie	0.002817	0.000475	0.089643	0.000000	1.000000	50	7	8	5	1
199	Svein Rennemo	0.010563	0.001150	0.105281	0.003371	0.580952	51	7	8	27	1
200	Anita Karin Patrick	0.002113	0.000704	0.002113	0.000000	1.000000	52	76	136	0	2
201	Mogens Jessen	0.002113	0.000704	0.002113	0.000000	1.000000	52	76	136	0	1
202	Morten Wilfred Rødsten	0.002113	0.000704	0.002113	0.000000	1.000000	52	76	136	0	1
203	Niels Jørgen Krogsgård	0.002113	0.000704	0.002113	0.000000	1.000000	52	76	136	0	1
204	Ann-Kristin Hageløkken	0.002817	0.000704	0.002817	0.000000	1.000000	53	50	100	5	2
205	Carl Erik Mathias Uhlen	0.002817	0.000704	0.002817	0.000000	1.000000	53	50	100	5	1
206	Greta Bentzen	0.002817	0.000704	0.002817	0.000000	1.000000	53	50	100	5	2
207	Hans Johan Hekland	0.002817	0.000704	0.002817	0.000000	1.000000	53	50	100	5	1
208	Robert Verner Ahlgren	0.002817	0.000704	0.002817	0.000000	1.000000	53	50	100	5	1
209	Ann-Tove Kongsnes	0.004225	0.000647	0.090610	0.000000	1.000000	54	0	61	6	2
210	Benedicte Heidenreich Fossum	0.009859	0.001374	0.106573	0.008321	0.318681	54	0	61	6	2
211	John Ole Skeide	0.004225	0.000647	0.090610	0.000000	1.000000	54	0	61	6	1
212	Karl Johan Jakola	0.004225	0.000647	0.090610	0.000000	1.000000	54	0	61	6	1
213	Lill Beate Pedersen	0.004225	0.000647	0.090610	0.000000	1.000000	54	0	61	6	2
214	Steinar Fossen	0.004225	0.000647	0.090610	0.000000	1.000000	54	0	61	6	1
215	Viktor Helmer Sørensen	0.004225	0.000647	0.090610	0.000000	1.000000	54	0	61	6	1
216	Ann Elizabeth Seabrook	0.004225	0.000676	0.089800	0.000000	1.000000	55	12	62	13	2
217	Artur Rastrogin	0.004225	0.000676	0.089800	0.000000	1.000000	55	12	62	13	1
218	Einar Olof Lyche	0.004225	0.000676	0.089800	0.000000	1.000000	55	12	62	13	1
219	Frederick Matthew Thomas Ponsonby	0.004225	0.000676	0.089800	0.000000	1.000000	55	12	62	13	1
220	Katherine Hatlen Støvring	0.007042	0.001083	0.105454	0.005044	0.466667	55	12	62	13	2
221	Linda Dowding	0.004225	0.000676	0.089800	0.000000	1.000000	55	12	62	13	2
222	Mikhail Alyautdinov	0.004225	0.000676	0.089800	0.000000	1.000000	55	12	62	13	1
223	Anna-Stina Nordmark Nilsson	0.004930	0.000689	0.100412	0.000000	1.000000	56	6	54	11	2
224	Anne Margrethe Sødahl Wessel	0.004930	0.000689	0.100412	0.000000	1.000000	56	6	54	11	2
225	Karl-Erik Staubo	0.004930	0.000689	0.100412	0.000000	1.000000	56	6	54	11	1
226	Selma Kveim	0.007746	0.001017	0.119608	0.007655	0.490909	56	6	54	11	2
227	Stig Göran Martin	0.004930	0.000689	0.100412	0.000000	1.000000	56	6	54	11	1
228	Stig Grimsgaard Andersen	0.004930	0.000689	0.100412	0.000000	1.000000	56	6	54	11	1
229	Tine Gottlob Kirstan Wollebekk	0.007042	0.001022	0.102439	0.002841	0.533333	56	6	54	11	2
230	Veroslav Sedlak	0.004930	0.000689	0.100412	0.000000	1.000000	56	6	54	11	1
231	Anna Cecilie Holst	0.002113	0.000704	0.002113	0.000000	1.000000	57	77	137	0	2
232	Morten Ågnes	0.002113	0.000704	0.002113	0.000000	1.000000	57	77	137	0	1
233	Per Arne Johnsen	0.002113	0.000704	0.002113	0.000000	1.000000	57	77	137	0	1
234	Rolf Tore Spjelkavik	0.002113	0.000704	0.002113	0.000000	1.000000	57	77	137	0	1
235	Anna Yvonne Monica Malm Bernsten	0.002113	0.000704	0.002113	0.000000	1.000000	58	78	138	1	2
236	Arne Aarnes	0.002113	0.000704	0.002113	0.000000	1.000000	58	78	138	1	1
237	Kirsten English	0.002113	0.000704	0.002113	0.000000	1.000000	58	78	138	1	2
238	Tom Roland Nyman	0.002113	0.000704	0.002113	0.000000	1.000000	58	78	138	1	1
239	Erik Must	0.015493	0.001832	0.129985	0.038090	0.264069	3	4	3	21	1
240	Finn Marum Jebsen	0.007042	0.000944	0.114248	0.009454	0.466667	49	9	27	15	1
241	Irene Waage Basili	0.002817	0.000416	0.110075	0.000000	1.000000	3	14	3	21	2
242	John Giverholt	0.007746	0.000971	0.115302	0.004852	0.490909	59	7	35	11	1
243	Anne Berit Sandnes	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	2
244	Annette Nora Thorvik Pettersen	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	2
245	Erik Glende Johnsen	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	1
246	Eva Helene Sydskjør	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	2
247	Ivar Sigmund Williksen	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	1
248	Kjell Hetland	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	1
249	Kolbjørn Opsahl Selmer	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	1
250	Roald Dolmen	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	1
251	Siv Bakke Rivenes	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	2
252	Willy Anker Hansen	0.006338	0.000704	0.006338	0.000000	1.000000	60	24	36	23	1
253	Dag-Erik Rasmussen	0.011268	0.001860	0.113740	0.031159	0.175000	27	12	6	13	1
254	Gunnar Domstein	0.003521	0.000615	0.087321	0.000000	1.000000	61	10	19	13	1
255	Gunvor Ulstein	0.002113	0.000399	0.100039	0.000000	1.000000	29	15	6	13	2
256	Idar Lars Ulstein	0.004225	0.000672	0.087336	0.000000	1.000000	29	10	19	13	1
257	Inge Leif Sleipnes	0.004225	0.000672	0.087336	0.000000	1.000000	29	10	19	13	1
258	Inger Adele Myklebust	0.003521	0.000615	0.087321	0.000000	1.000000	61	10	19	13	2
259	Ingerid Ulstein	0.004225	0.000672	0.087336	0.000000	1.000000	29	10	19	13	2
260	Kjell Arvid Storeide	0.004930	0.000849	0.104550	0.008848	0.428571	62	15	101	12	1
261	Knut Magne Domstein	0.003521	0.000615	0.087321	0.000000	1.000000	61	10	19	13	1
262	Morten Frogner	0.003521	0.000615	0.087321	0.000000	1.000000	61	10	19	13	1
263	Nils Fredrik Drabløs	0.003521	0.000615	0.087321	0.000000	1.000000	61	10	19	13	1
264	Rolv Bakke	0.004225	0.000672	0.087336	0.000000	1.000000	29	10	19	13	1
265	Sveinung Andreas Flem	0.004225	0.000672	0.087336	0.000000	1.000000	29	10	19	13	1
266	Tore Ulstein	0.004225	0.000672	0.087336	0.000000	1.000000	29	10	19	13	1
267	Anne Breive	0.002817	0.000704	0.002817	0.000000	1.000000	63	51	102	0	2
268	Bjarne Egill Skeie	0.002817	0.000704	0.002817	0.000000	1.000000	63	51	102	0	1
269	Jan Magne Galåen	0.002817	0.000704	0.002817	0.000000	1.000000	63	51	102	0	1
270	Kjerstin Fyllingen	0.002817	0.000704	0.002817	0.000000	1.000000	63	51	102	0	2
271	Trym Skeie	0.002817	0.000704	0.002817	0.000000	1.000000	63	51	102	0	1
272	Anne Brit Liseth	0.002817	0.000505	0.087665	0.000000	1.000000	64	5	63	3	2
273	Else Bugge Fougner	0.007042	0.001052	0.101626	0.033001	0.466667	64	8	64	3	2
274	Gabriel Smith	0.002817	0.000505	0.087665	0.000000	1.000000	64	5	63	3	1
275	Johan Solbu Braaten	0.007746	0.001241	0.088375	0.030224	0.327273	6	5	63	3	1
276	Knut Haraldson	0.002817	0.000505	0.087665	0.000000	1.000000	64	5	63	3	1
277	Anne Britt Bekken	0.005634	0.000640	0.124520	0.000000	1.000000	65	7	46	27	2
278	Bente Sollid	0.005634	0.000640	0.124520	0.000000	1.000000	65	7	46	27	2
279	Erik Hagen	0.005634	0.000640	0.124520	0.000000	1.000000	65	7	46	27	1
280	Frode Nordseth	0.005634	0.000640	0.124520	0.000000	1.000000	65	7	46	27	1
281	Kaare Moursund Gisvold	0.011268	0.001249	0.132028	0.040949	0.416667	66	7	46	27	1
282	Liselott Kilaas	0.010563	0.001190	0.126083	0.013937	0.466667	59	7	46	27	2
283	Marit Arnstad	0.017606	0.001790	0.127052	0.027326	0.326667	51	7	8	27	2
